date,real_close,pred_close
2020-05-07,17.18,16.54850196838379
2020-05-08,17.3,16.227018356323242
2020-05-11,18.0,16.505874633789062
2020-05-12,17.63,16.881772994995117
2020-05-13,17.38,16.729446411132812
2020-05-14,17.18,16.58454132080078
2020-05-15,17.31,16.490304946899414
2020-05-18,16.65,16.57619857788086
2020-05-19,16.86,16.47631072998047
2020-05-20,16.93,16.27166175842285
2020-05-21,17.22,16.463220596313477
2020-05-22,17.24,16.716455459594727
2020-05-25,16.4,16.586843490600586
2020-05-26,16.64,16.324993133544922
2020-05-27,16.31,16.256420135498047
2020-05-28,16.28,16.092546463012695
2020-05-29,16.42,15.808854103088379
2020-06-01,16.94,15.760355949401855
2020-06-02,16.93,16.135208129882812
2020-06-03,16.89,15.93217658996582
2020-06-04,16.65,15.69454574584961
2020-06-05,16.64,15.387128829956055
2020-06-08,16.7,15.10510540008545
2020-06-09,16.59,14.970726013183594
2020-06-10,16.57,14.925539016723633
2020-06-11,16.73,15.060007095336914
2020-06-12,16.52,15.735176086425781
2020-06-15,16.22,15.362824440002441
2020-06-16,16.53,14.918928146362305
2020-06-17,16.5,15.48384952545166
2020-06-18,16.8,15.410445213317871
2020-06-19,16.75,15.473000526428223
2020-06-22,16.84,15.17855453491211
2020-06-23,16.52,15.429666519165039
2020-06-24,16.56,15.159399032592773
2020-06-29,16.28,15.32262134552002
2020-06-30,16.41,14.686182975769043
2020-07-01,16.46,15.460110664367676
2020-07-02,16.88,15.348487854003906
2020-07-03,17.06,15.818111419677734
2020-07-06,17.81,15.740438461303711
2020-07-07,17.83,16.013648986816406
2020-07-08,18.18,16.416170120239258
2020-07-09,19.09,16.448619842529297
2020-07-10,18.53,16.638925552368164
2020-07-13,18.85,16.837387084960938
2020-07-14,18.64,16.544527053833008
2020-07-15,17.84,16.74436378479004
2020-07-16,17.21,16.085302352905273
2020-07-17,17.25,15.626346588134766
2020-07-20,17.8,15.816469192504883
2020-07-21,17.56,16.284395217895508
2020-07-22,17.34,16.24263572692871
2020-07-23,16.66,16.102983474731445
2020-07-24,16.08,15.722481727600098
2020-07-27,16.26,15.271443367004395
2020-07-28,16.41,15.316793441772461
2020-07-29,16.64,15.517772674560547
2020-07-30,16.47,15.572317123413086
2020-07-31,16.53,15.55881118774414
2020-08-03,16.83,15.65233039855957
2020-08-04,16.66,15.923598289489746
2020-08-05,16.78,15.91748332977295
2020-08-06,16.62,16.079076766967773
2020-08-07,16.3,16.08970832824707
2020-08-10,16.43,15.729471206665039
2020-08-11,16.32,15.756488800048828
2020-08-12,16.42,15.73777961730957
2020-08-13,16.42,15.76977825164795
2020-08-14,16.59,15.749507904052734
2020-08-17,16.99,15.947958946228027
2020-08-18,16.8,16.179351806640625
2020-08-19,16.43,16.16937828063965
2020-08-20,16.39,15.938846588134766
2020-08-21,16.4,15.837193489074707
2020-08-24,16.5,15.728533744812012
2020-08-25,16.68,15.94356632232666
2020-08-26,16.34,16.06926155090332
2020-08-27,16.43,15.927499771118164
2020-08-28,16.46,15.879650115966797
2020-08-31,16.35,15.750304222106934
2020-09-01,16.28,15.67939567565918
2020-09-02,16.21,15.583721160888672
2020-09-03,16.02,15.694478034973145
2020-09-04,15.97,15.761661529541016
2020-09-07,16.09,15.690509796142578
2020-09-08,16.12,15.997647285461426
2020-09-09,15.81,15.962925910949707
2020-09-10,14.99,15.960135459899902
2020-09-11,14.91,15.167152404785156
2020-09-14,14.85,14.861902236938477
2020-09-15,14.85,14.848584175109863
2020-09-16,15.18,14.894806861877441
2020-09-17,15.11,15.150118827819824
2020-09-18,15.22,15.09654712677002
2020-09-21,15.33,15.036888122558594
2020-09-22,15.06,15.097500801086426
2020-09-23,15.02,14.957761764526367
2020-09-24,14.87,14.851997375488281
2020-09-25,14.67,14.833908081054688
2020-09-28,14.53,14.8211088180542
2020-09-29,14.5,14.70547866821289
2020-09-30,14.42,14.689228057861328
2020-10-09,14.73,14.664606094360352
2020-10-12,15.12,15.036576271057129
2020-10-13,15.07,15.396389961242676
2020-10-14,15.14,15.290614128112793
2020-10-15,15.11,14.907392501831055
2020-10-16,15.26,14.965015411376953
2020-10-19,15.71,15.16745662689209
2020-10-20,15.62,15.648714065551758
2020-10-21,15.63,15.232107162475586
2020-10-22,15.41,15.000743865966797
2020-10-23,15.21,14.717964172363281
2020-10-26,14.93,14.59306812286377
2020-10-27,14.89,14.647259712219238
2020-10-28,14.73,14.664250373840332
2020-10-29,14.72,14.7841157913208
2020-10-30,14.66,14.727202415466309
2020-11-02,14.73,14.692140579223633
2020-11-03,14.97,14.690205574035645
2020-11-04,14.98,14.870668411254883
2020-11-05,15.42,14.81517505645752
2020-11-06,15.23,15.31322193145752
2020-11-09,15.61,15.0078706741333
2020-11-10,15.35,15.33656120300293
2020-11-11,15.0,15.134592056274414
2020-11-12,15.03,14.989001274108887
2020-11-13,15.0,14.701011657714844
2020-11-16,15.02,14.586160659790039
2020-11-17,14.93,14.586273193359375
2020-11-18,14.93,14.586645126342773
2020-11-19,14.99,14.59492301940918
2020-11-20,15.13,14.603059768676758
2020-11-23,15.09,14.61833667755127
2020-11-24,15.15,14.656606674194336
2020-11-25,15.03,14.682303428649902
2020-11-26,14.87,14.639090538024902
2020-11-27,14.77,14.584218978881836
2020-11-30,14.81,14.567967414855957
2020-12-01,14.93,14.57829761505127
2020-12-02,14.97,14.614861488342285
2020-12-03,14.84,14.586614608764648
2020-12-04,14.86,14.579078674316406
2020-12-07,14.76,14.577554702758789
2020-12-08,14.6,14.569352149963379
2020-12-09,14.42,14.565346717834473
2020-12-10,14.48,14.155122756958008
2020-12-11,14.1,14.226595878601074
2020-12-14,14.11,14.148856163024902
,0.0,14.148884773254395
