date,real_high,real_low,pred_high,pred_low
2019-12-04,23.19,22.67,22.889118194580078,21.621225357055664
2019-12-05,22.88,22.68,22.689220428466797,21.460466384887695
2019-12-06,23.04,22.67,22.673851013183594,21.450164794921875
2019-12-09,22.8,22.57,22.64493179321289,21.42772102355957
2019-12-10,23.18,22.6,22.58463478088379,21.37937355041504
2019-12-11,23.55,22.97,22.80430793762207,21.553295135498047
2019-12-12,23.6,23.32,22.924461364746094,21.64708137512207
2019-12-13,23.81,23.6,23.00684928894043,21.71150779724121
2019-12-16,23.83,23.64,23.132183074951172,21.80607795715332
2019-12-17,23.95,23.7,23.266220092773438,21.906766891479492
2019-12-18,23.98,23.74,23.37664031982422,21.986982345581055
2019-12-19,24.04,23.78,23.435869216918945,22.033458709716797
2019-12-20,24.28,23.84,23.47870445251465,22.068477630615234
2019-12-23,24.21,23.69,23.595735549926758,22.160568237304688
2019-12-24,23.9,23.46,23.43634796142578,22.033580780029297
2019-12-25,23.82,23.49,23.3490047454834,21.9741268157959
2019-12-26,23.71,23.54,23.31831169128418,21.955158233642578
2019-12-27,24.09,23.56,23.310232162475586,21.950300216674805
2019-12-30,24.05,23.72,23.457189559936523,22.064556121826172
2019-12-31,23.98,23.72,23.47324562072754,22.072593688964844
2020-01-02,24.51,23.97,23.505102157592773,22.097469329833984
2020-01-03,24.35,24.07,23.737581253051758,22.272380828857422
2020-01-06,24.05,23.31,23.762540817260742,22.280317306518555
2020-01-07,23.53,23.34,23.324634552001953,21.922029495239258
2020-01-08,24.0,23.3,23.290477752685547,21.921083450317383
2020-01-09,25.09,23.9,23.456558227539062,22.050878524780273
2020-01-10,25.15,24.78,24.248563766479492,22.622522354125977
2020-01-13,25.39,24.83,24.5927677154541,22.894594192504883
2020-01-14,25.36,24.65,24.884490966796875,23.12969398498535
2020-01-15,24.93,24.44,24.760921478271484,23.045053482055664
2020-01-16,25.17,24.61,24.50130844116211,22.865100860595703
2020-01-17,25.17,24.64,24.725675582885742,23.037899017333984
2020-01-20,24.74,24.04,24.6895694732666,23.020980834960938
2020-01-21,24.06,23.05,24.248960494995117,22.678184509277344
2020-01-22,23.34,22.95,23.63067626953125,22.15205955505371
2020-01-23,23.1,22.5,23.36041831970215,21.966739654541016
2020-02-03,21.46,20.35,22.823604583740234,21.55660057067871
2020-02-04,21.0,20.33,21.6843204498291,20.606163024902344
2020-02-05,20.96,20.42,20.98613739013672,20.01633071899414
2020-02-06,21.17,20.6,21.058576583862305,20.08194351196289
2020-02-07,21.3,20.73,21.027544021606445,20.06675148010254
2020-02-10,21.58,20.96,21.105449676513672,20.137636184692383
2020-02-11,21.67,21.28,21.183029174804688,20.206207275390625
2020-02-12,21.65,21.18,21.1936092376709,20.218318939208984
2020-02-13,21.9,21.45,21.35940933227539,20.357316970825195
2020-02-14,21.78,21.31,21.329992294311523,20.337581634521484
2020-02-17,23.04,21.52,21.33514976501465,20.344009399414062
2020-02-18,22.69,22.39,21.906085968017578,20.78901481628418
2020-02-19,23.17,22.51,22.000864028930664,20.885038375854492
2020-02-20,23.1,22.68,22.212953567504883,21.059558868408203
2020-02-21,23.88,23.2,22.420862197875977,21.22829246520996
2020-02-24,24.32,23.6,22.751270294189453,21.455734252929688
2020-02-25,23.88,23.02,22.848176956176758,21.54777717590332
2020-02-26,23.81,23.05,22.888755798339844,21.584156036376953
2020-02-27,23.97,23.18,22.888439178466797,21.59401512145996
2020-02-28,23.2,22.21,22.884462356567383,21.598957061767578
2020-03-02,23.63,22.28,22.42445182800293,21.232967376708984
2020-03-03,23.82,23.14,22.73648452758789,21.4757137298584
2020-03-04,23.8,23.22,22.846786499023438,21.56198501586914
2020-03-05,24.0,23.39,22.94723892211914,21.636478424072266
2020-03-06,23.47,22.85,22.990015029907227,21.671815872192383
2020-03-09,22.55,22.18,22.79037094116211,21.52480697631836
2020-03-10,23.45,22.04,22.43136215209961,21.243240356445312
2020-03-11,23.72,22.86,22.827171325683594,21.55187225341797
2020-03-12,22.83,22.3,22.7380428314209,21.4920597076416
2020-03-13,22.48,21.45,22.629358291625977,21.410524368286133
2020-03-16,22.25,20.62,22.248544692993164,21.099000930786133
2020-03-17,21.22,20.3,21.525760650634766,20.485807418823242
2020-03-18,20.97,20.0,21.153654098510742,20.167505264282227
2020-03-19,20.1,18.6,20.70140266418457,19.794214248657227
2020-03-20,19.25,18.77,20.04271697998047,19.28075408935547
